h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
h;1.22939;3.49755;-2.26816;0;3;0.1849;l;03/04/2021;L;0;0;1;0;Granada;La_liga;2020
a;0;2.75029;-2.75029;0;5;0.0113;l;18/04/2021;L;0;0;1;0;Eibar;La_liga;2020
h;0.724471;2.99435;-2.269879;1;3;0.1314;l;27/09/2020;L;0;0;1;0;Osasuna;La_liga;2020
a;1.56118;3.91416;-2.35298;0;4;0.1984;l;29/11/2020;L;0;0;1;0;Osasuna;La_liga;2020
a;0.673558;2.97525;-2.301692;1;2;0.1747;l;16/05/2021;L;0;0;1;0;Osasuna;La_liga;2020
a;0.618672;2.65908;-2.040408;1;3;0.1292;l;30/09/2020;L;0;0;1;0;Alaves;La_liga;2020
h;0.154899;2.31899;-2.164091;1;2;0.0447;l;03/01/2021;L;0;0;1;0;Alaves;La_liga;2020
a;0.710997;2.86032;-2.149323;1;5;0.1854;l;13/02/2021;L;0;0;1;0;Alaves;La_liga;2020
a;0.307378;2.50353;-2.196152;0;4;0.1139;l;21/02/2021;L;0;0;1;0;Alaves;La_liga;2020
h;1.23661;3.3738;-2.13719;0;3;0.2267;l;26/09/2020;L;0;0;1;0;Elche;La_liga;2020
a;0.478252;3.06462;-2.586368;1;3;0.0937;l;01/11/2020;L;0;0;1;0;Elche;La_liga;2020
h;0.477298;3.12144;-2.644142;0;2;0.0477;l;24/01/2021;L;0;0;1;0;Elche;La_liga;2020
a;0.328905;3.00838;-2.679475;0;1;0.0571;l;30/01/2021;L;0;0;1;0;Elche;La_liga;2020
a;0.351113;2.66084;-2.309727;0;3;0.1059;l;24/02/2021;L;0;0;1;0;Elche;La_liga;2020
a;0.0778732;2.39443;-2.3165568;0;2;0.0705;l;07/05/2021;L;0;0;1;0;Elche;La_liga;2020
a;0.540187;2.64599;-2.105803;0;1;0.1602;l;30/09/2020;L;0;0;1;0;Real Valladolid;La_liga;2020
h;0.305213;2.3128;-2.007587;0;2;0.1301;l;25/10/2020;L;0;0;1;0;Real Valladolid;La_liga;2020
h;0.499141;3.23865;-2.739509;0;3;0.1218;l;22/12/2020;L;0;0;1;0;Real Valladolid;La_liga;2020
h;0.259005;3.21201;-2.953005;0;1;0.0488;l;03/01/2021;L;0;0;1;0;SD Huesca;La_liga;2020
h;0.920971;3.53921;-2.618239;1;2;0.1041;l;06/02/2021;L;0;0;1;0;SD Huesca;La_liga;2020
a;0.395983;2.62556;-2.229577;0;4;0.1574;l;07/11/2020;L;0;0;1;0;Cadiz;La_liga;2020
a;0.354151;4.7946;-4.440449;1;4;0.002;l;07/02/2021;L;0;0;1;0;Cadiz;La_liga;2020
a;0.640397;2.78378;-2.143383;1;0;0.1694;w;10/04/2021;W;1;0;0;3;Cadiz;La_liga;2020
h;1.31917;3.52537;-2.2062;0;3;0.242;l;21/04/2021;L;0;0;1;0;Cadiz;La_liga;2020
a;0.601768;3.34385;-2.742082;0;2;0.0984;l;20/01/2021;L;0;0;1;0;Aston Villa;EPL;2020
a;0.144036;2.33232;-2.188284;0;0;0.1071;d;13/02/2021;D;0;1;0;1;Aston Villa;EPL;2020
h;0.980413;3.43414;-2.453727;2;1;0.1707;w;23/05/2021;W;1;0;0;3;Aston Villa;EPL;2020
h;0.314075;2.55085;-2.236775;0;2;0.0685;l;14/02/2021;L;0;0;1;0;Everton;EPL;2020
a;0.270757;2.57224;-2.301483;0;2;0.0907;l;08/03/2021;L;0;0;1;0;Everton;EPL;2020
a;0.507893;5.0325;-4.524607;0;9;0.0102;l;02/02/2021;L;0;0;1;0;Southampton;EPL;2020
a;0.832596;2.86149;-2.028894;1;2;0.2156;l;18/05/2021;L;0;0;1;0;Leicester;EPL;2020
h;0.352997;2.95581;-2.602813;0;3;0.0568;l;13/09/2020;L;0;0;1;0;West Bromwich Albion;EPL;2020
a;0.315347;4.16254;-3.847193;2;5;0.0037;l;19/09/2020;L;0;0;1;0;West Bromwich Albion;EPL;2020
a;0.210243;2.58593;-2.375687;1;1;0.1102;d;15/12/2020;D;0;1;0;1;West Bromwich Albion;EPL;2020
h;0.0388442;2.61964;-2.5807958;0;3;0.0251;l;20/12/2020;L;0;0;1;0;West Bromwich Albion;EPL;2020
h;0.869874;4.03429;-3.164416;0;4;0.0513;l;02/01/2021;L;0;0;1;0;West Bromwich Albion;EPL;2020
h;0.687091;3.12111;-2.434019;1;0;0.1051;w;27/02/2021;W;1;0;0;3;West Bromwich Albion;EPL;2020
a;0.277126;2.6712;-2.394074;0;3;0.1057;l;22/04/2021;L;0;0;1;0;West Bromwich Albion;EPL;2020
h;1.10741;3.56991;-2.4625;1;3;0.1184;l;19/05/2021;L;0;0;1;0;West Bromwich Albion;EPL;2020
a;0.103249;2.51433;-2.411081;0;4;0.0397;l;03/10/2020;L;0;0;1;0;Crystal Palace;EPL;2020
h;0.489318;2.86902;-2.379702;0;7;0.1316;l;19/12/2020;L;0;0;1;0;Crystal Palace;EPL;2020
a;0.849086;4.58214;-3.733054;0;3;0.0329;l;26/12/2020;L;0;0;1;0;Crystal Palace;EPL;2020
h;0.629033;3.30321;-2.674177;2;3;0.0963;l;26/01/2021;L;0;0;1;0;Crystal Palace;EPL;2020
a;0.370278;2.64769;-2.277412;0;2;0.1369;l;08/02/2021;L;0;0;1;0;Crystal Palace;EPL;2020
a;0.179886;2.59204;-2.412154;2;1;0.0899;w;22/02/2021;W;1;0;0;3;Crystal Palace;EPL;2020
h;0.602167;3.85472;-3.252553;1;4;0.0493;l;10/04/2021;L;0;0;1;0;Crystal Palace;EPL;2020
h;0.691013;3.18063;-2.489617;1;3;0.148;l;03/01/2021;L;0;0;1;0;Chelsea;EPL;2020
a;0.277737;2.41157;-2.133833;0;3;0.0952;l;21/12/2020;L;0;0;1;0;West Ham;EPL;2020
h;0.267123;2.52059;-2.253467;0;1;0.1025;l;24/04/2021;L;0;0;1;0;West Ham;EPL;2020
h;0.104586;2.58798;-2.483394;1;3;0.0264;l;28/01/2021;L;0;0;1;0;Tottenham;EPL;2020
a;0.4235;2.46219;-2.03869;0;3;0.1681;l;13/02/2021;L;0;0;1;0;Tottenham;EPL;2020
h;0.161161;2.43732;-2.276159;0;3;0.0928;l;03/04/2021;L;0;0;1;0;Arsenal;EPL;2020
a;0.942726;3.18765;-2.244924;1;1;0.1632;d;27/09/2020;D;0;1;0;1;Newcastle United;EPL;2020
a;0.200953;3.19575;-2.994797;0;2;0.0361;l;26/12/2020;L;0;0;1;0;Newcastle United;EPL;2020
a;0.168796;2.30744;-2.138644;0;3;0.1212;l;18/01/2021;L;0;0;1;0;Newcastle United;EPL;2020
a;0.400364;2.6026;-2.202236;0;2;0.1274;l;23/01/2021;L;0;0;1;0;Newcastle United;EPL;2020
a;0.432603;2.5428;-2.110197;0;2;0.162;l;15/02/2021;L;0;0;1;0;Newcastle United;EPL;2020
a;0.28109;2.30722;-2.02613;1;1;0.1019;d;28/11/2020;D;0;1;0;1;Liverpool;EPL;2020
h;1.17728;3.55196;-2.37468;1;4;0.065;l;07/02/2021;L;0;0;1;0;Liverpool;EPL;2020
h;0.873435;3.3017;-2.428265;1;6;0.1302;l;04/10/2020;L;0;0;1;0;Manchester United;EPL;2020
h;0.0489155;2.12153;-2.0726145;0;2;0.0766;l;03/02/2021;L;0;0;1;0;Burnley;EPL;2020
a;0.177084;2.90855;-2.731466;0;1;0.0539;l;13/01/2021;L;0;0;1;0;Brighton;EPL;2020
h;0.126327;2.16287;-2.036543;0;3;0.0587;l;12/09/2020;L;0;0;1;0;Fulham;EPL;2020
a;0.287444;3.26328;-2.975836;0;2;0.0424;l;05/12/2020;L;0;0;1;0;Fulham;EPL;2020
a;1.05329;3.14372;-2.09043;1;1;0.282;d;13/01/2021;D;0;1;0;1;Fulham;EPL;2020
h;0.449499;2.72578;-2.276281;0;3;0.0733;l;13/03/2021;L;0;0;1;0;Fulham;EPL;2020
a;0.839128;2.85573;-2.016602;1;1;0.1603;d;18/04/2021;D;0;1;0;1;Fulham;EPL;2020
a;0.385152;3.05703;-2.671878;0;4;0.0847;l;27/09/2020;L;0;0;1;0;Wolverhampton Wanderers;EPL;2020
a;0.318824;3.26196;-2.943136;1;4;0.0585;l;02/03/2021;L;0;0;1;0;Wolverhampton Wanderers;EPL;2020
a;1.09206;3.13947;-2.04741;0;2;0.2744;l;16/05/2021;L;0;0;1;0;Wolverhampton Wanderers;EPL;2020
a;0.743967;2.87622;-2.132253;1;4;0.1844;l;07/11/2020;L;0;0;1;0;Sheffield United;EPL;2020
a;0.219115;2.27973;-2.060615;0;3;0.1313;l;13/12/2020;L;0;0;1;0;Sheffield United;EPL;2020
h;0.777149;2.80551;-2.028361;0;2;0.2464;l;28/02/2021;L;0;0;1;0;Sheffield United;EPL;2020
a;0.0934777;4.54571;-4.4522323;0;5;0.0037;l;14/03/2021;L;0;0;1;0;Sheffield United;EPL;2020
a;0.269813;3.15412;-2.884307;3;4;0.0434;l;12/09/2020;L;0;0;1;0;Leeds;EPL;2020
a;1.0277;4.89472;-3.86702;1;3;0.0351;l;05/12/2020;L;0;0;1;0;Leeds;EPL;2020
a;1.63467;4.77743;-3.14276;2;6;0.1591;l;20/12/2020;L;0;0;1;0;Leeds;EPL;2020
a;0.510874;2.52542;-2.014546;0;2;0.1933;l;01/05/2021;L;0;0;1;0;Leeds;EPL;2020
a;0.769689;3.57344;-2.803751;1;2;0.0775;l;03/10/2020;L;0;0;1;0;Hoffenheim;Bundesliga;2020
h;1.49329;3.66229;-2.169;1;3;0.1995;l;02/11/2020;L;0;0;1;0;Hoffenheim;Bundesliga;2020
h;1.05065;3.20297;-2.15232;1;2;0.2434;l;21/03/2021;L;0;0;1;0;Hoffenheim;Bundesliga;2020
a;0.342366;2.6291;-2.286734;1;3;0.0906;l;26/10/2020;L;0;0;1;0;Augsburg;Bundesliga;2020
h;0.350601;2.51682;-2.166219;0;3;0.1264;l;07/11/2020;L;0;0;1;0;Augsburg;Bundesliga;2020
h;0.97454;4.01214;-3.0376;1;4;0.1024;l;10/01/2021;L;0;0;1;0;Augsburg;Bundesliga;2020
a;1.73838;4.85963;-3.12125;2;5;0.0961;l;22/05/2021;L;0;0;1;0;Augsburg;Bundesliga;2020
a;1.24509;3.99311;-2.74802;3;4;0.1261;l;04/10/2020;L;0;0;1;0;Hertha Berlin;Bundesliga;2020
h;0.14594;3.37771;-3.23177;1;2;0.0094;l;15/12/2020;L;0;0;1;0;Werder Bremen;Bundesliga;2020
a;0.109963;2.66057;-2.550607;0;4;0.0584;l;21/02/2021;L;0;0;1;0;Werder Bremen;Bundesliga;2020
h;0.76636;3.96745;-3.20109;1;3;0.0587;l;13/03/2021;L;0;0;1;0;Werder Bremen;Bundesliga;2020
a;0.973347;3.07111;-2.097763;1;4;0.2161;l;18/04/2021;L;0;0;1;0;Werder Bremen;Bundesliga;2020
a;0.14975;4.62088;-4.47113;0;8;0.0064;l;18/09/2020;L;0;0;1;0;Schalke 04;Bundesliga;2020
a;0.215209;3.25836;-3.043151;0;4;0.0363;l;03/10/2020;L;0;0;1;0;Schalke 04;Bundesliga;2020
a;0.734533;3.15544;-2.420907;1;4;0.1618;l;28/11/2020;L;0;0;1;0;Schalke 04;Bundesliga;2020
h;0.937959;3.12798;-2.190021;0;4;0.2686;l;24/01/2021;L;0;0;1;0;Schalke 04;Bundesliga;2020
h;0.125218;3.10182;-2.976602;0;3;0.0464;l;06/02/2021;L;0;0;1;0;Schalke 04;Bundesliga;2020
a;0.241952;2.50491;-2.262958;0;5;0.1176;l;13/03/2021;L;0;0;1;0;Schalke 04;Bundesliga;2020
a;0.252122;2.29829;-2.046168;0;1;0.1006;l;20/04/2021;L;0;0;1;0;Schalke 04;Bundesliga;2020
a;1.07201;3.22891;-2.1569;1;3;0.2547;l;20/09/2020;L;0;0;1;0;Mainz 05;Bundesliga;2020
a;1.1937;4.11014;-2.91644;2;5;0.1167;l;03/01/2021;L;0;0;1;0;Mainz 05;Bundesliga;2020
h;0.776004;3.07677;-2.300766;1;5;0.1878;l;12/12/2020;L;0;0;1;0;Borussia Dortmund;Bundesliga;2020
a;1.66853;4.02129;-2.35276;2;2;0.2513;d;05/12/2020;D;0;1;0;1;Borussia M.Gladbach;Bundesliga;2020
a;0.806609;3.02349;-2.216881;0;6;0.2088;l;08/05/2021;L;0;0;1;0;Borussia M.Gladbach;Bundesliga;2020
a;0.429229;3.80823;-3.379001;0;5;0.0496;l;24/10/2020;L;0;0;1;0;Eintracht Frankfurt;Bundesliga;2020
a;0.609687;2.95451;-2.344823;0;4;0.178;l;17/04/2021;L;0;0;1;0;Eintracht Frankfurt;Bundesliga;2020
a;1.30625;4.60657;-3.30032;2;5;0.1087;l;06/02/2021;L;0;0;1;0;VfB Stuttgart;Bundesliga;2020
a;0.128485;3.71376;-3.585275;0;2;0.016;l;25/04/2021;L;0;0;1;0;VfB Stuttgart;Bundesliga;2020
a;0.139728;2.91627;-2.776542;0;5;0.0434;l;09/01/2021;L;0;0;1;0;FC Cologne;Bundesliga;2020
a;0.554721;2.94491;-2.390189;0;2;0.1377;l;14/02/2021;L;0;0;1;0;FC Cologne;Bundesliga;2020
a;0.445096;2.82762;-2.382524;0;4;0.0871;l;03/10/2020;L;0;0;1;0;Freiburg;Bundesliga;2020
a;0.76215;3.01697;-2.25482;1;2;0.1832;l;17/01/2021;L;0;0;1;0;Freiburg;Bundesliga;2020
a;0.274853;6.37227;-6.097417;0;2;8.00E-04;l;21/04/2021;L;0;0;1;0;Union Berlin;Bundesliga;2020
h;1.21235;3.29447;-2.08212;1;4;0.2715;l;17/10/2020;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
a;0.664903;2.77748;-2.112577;1;2;0.2212;l;25/10/2020;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
h;0.255813;2.75909;-2.503277;0;2;0.0945;l;31/10/2020;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
a;0.238384;2.43027;-2.191886;0;2;0.1051;l;12/12/2020;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
h;0.328715;2.56406;-2.235345;1;5;0.1391;l;23/01/2021;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
h;0.290363;2.509;-2.218637;0;1;0.1032;l;19/03/2021;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
a;0.376815;2.45668;-2.079865;1;1;0.1496;d;03/04/2021;D;0;1;0;1;Arminia Bielefeld;Bundesliga;2020
a;0.594905;3.75166;-3.156755;0;5;0.0639;l;25/04/2021;L;0;0;1;0;Arminia Bielefeld;Bundesliga;2020
h;1.198;3.2493;-2.0513;1;2;0.3061;l;28/02/2021;L;0;0;1;0;Roma;Serie_A;2020
a;0.825483;2.94224;-2.116757;0;2;0.225;l;21/09/2020;L;0;0;1;0;Bologna;Serie_A;2020
h;0.354826;4.03543;-3.680604;1;5;0.0354;l;13/12/2020;L;0;0;1;0;Bologna;Serie_A;2020
a;0.43025;3.5214;-3.09115;0;2;0.0678;l;24/01/2021;L;0;0;1;0;Bologna;Serie_A;2020
a;0.901726;4.45853;-3.556804;0;5;0.0567;l;25/04/2021;L;0;0;1;0;Bologna;Serie_A;2020
h;1.06031;3.63043;-2.57012;1;4;0.1427;l;23/05/2021;L;0;0;1;0;Bologna;Serie_A;2020
a;0.310308;2.98143;-2.671122;0;3;0.054;l;14/02/2021;L;0;0;1;0;Udinese;Serie_A;2020
h;0.372087;2.79425;-2.422163;1;2;0.084;l;02/05/2021;L;0;0;1;0;Udinese;Serie_A;2020
h;0.488745;2.52775;-2.039005;1;1;0.1461;d;08/05/2021;D;0;1;0;1;Udinese;Serie_A;2020
a;0.186833;3.38173;-3.194897;1;5;0.021;l;11/05/2021;L;0;0;1;0;Udinese;Serie_A;2020
a;1.16043;3.52785;-2.36742;1;5;0.1046;l;23/05/2021;L;0;0;1;0;Udinese;Serie_A;2020
a;0.265594;2.34102;-2.075426;0;6;0.1591;l;27/09/2020;L;0;0;1;0;Genoa;Serie_A;2020
h;0.64745;3.49225;-2.8448;1;3;0.1008;l;08/11/2020;L;0;0;1;0;Genoa;Serie_A;2020
h;0.484378;3.60091;-3.116532;1;3;0.0322;l;13/12/2020;L;0;0;1;0;Genoa;Serie_A;2020
a;0.104998;2.85565;-2.750652;0;3;0.0603;l;28/02/2021;L;0;0;1;0;Genoa;Serie_A;2020
a;0.229603;2.40692;-2.177317;0;1;0.1404;l;03/01/2021;L;0;0;1;0;Sampdoria;Serie_A;2020
a;0.499119;3.50279;-3.003671;1;5;0.07;l;03/01/2021;L;0;0;1;0;Sassuolo;Serie_A;2020
a;0.542444;3.03948;-2.497036;1;3;0.1458;l;10/01/2021;L;0;0;1;0;Sassuolo;Serie_A;2020
a;0.624734;2.68448;-2.059746;2;4;0.1784;l;21/02/2021;L;0;0;1;0;Napoli;Serie_A;2020
a;0.37308;3.6279;-3.25482;0;2;0.0349;l;01/11/2020;L;0;0;1;0;Fiorentina;Serie_A;2020
a;0.602734;2.85768;-2.254946;0;2;0.1239;l;29/11/2020;L;0;0;1;0;Fiorentina;Serie_A;2020
a;0.461794;2.8038;-2.342006;0;3;0.1254;l;13/12/2020;L;0;0;1;0;Fiorentina;Serie_A;2020
h;0.707265;2.95518;-2.247915;0;3;0.1948;l;21/02/2021;L;0;0;1;0;AC Milan;Serie_A;2020
a;0.975058;3.04581;-2.070752;1;3;0.2454;l;17/12/2020;L;0;0;1;0;Torino;Serie_A;2020
h;1.15909;3.29698;-2.13789;2;2;0.2344;d;03/04/2021;D;0;1;0;1;Torino;Serie_A;2020
h;1.04779;3.0505;-2.00271;0;2;0.3525;l;26/04/2021;L;0;0;1;0;Torino;Serie_A;2020
h;0.86194;4.30596;-3.44402;0;7;0.0551;l;12/05/2021;L;0;0;1;0;Torino;Serie_A;2020
h;0.107055;2.43073;-2.323675;0;2;0.0488;l;27/09/2020;L;0;0;1;0;Crotone;Serie_A;2020
h;0.524608;3.49595;-2.971342;1;2;0.0719;l;31/10/2020;L;0;0;1;0;Crotone;Serie_A;2020
a;0.483519;3.26629;-2.782771;0;4;0.0786;l;07/02/2021;L;0;0;1;0;Crotone;Serie_A;2020
h;0.737979;2.7814;-2.043421;1;2;0.2122;l;14/02/2021;L;0;0;1;0;Crotone;Serie_A;2020
a;0.654355;4.42058;-3.766225;0;3;0.06;l;22/02/2021;L;0;0;1;0;Crotone;Serie_A;2020
a;0.599388;3.83419;-3.234802;1;5;0.0623;l;03/03/2021;L;0;0;1;0;Crotone;Serie_A;2020
a;1.17165;3.45014;-2.27849;3;4;0.26;l;03/04/2021;L;0;0;1;0;Crotone;Serie_A;2020
a;0.285602;2.34234;-2.056738;0;5;0.1813;l;09/05/2021;L;0;0;1;0;Crotone;Serie_A;2020
a;0.655559;3.60777;-2.952211;2;5;0.0742;l;04/10/2020;L;0;0;1;0;Cagliari;Serie_A;2020
a;0.0831584;2.54799;-2.4648316;0;2;0.0646;l;21/11/2020;L;0;0;1;0;Cagliari;Serie_A;2020
a;1.19646;3.36165;-2.16519;2;3;0.205;l;23/12/2020;L;0;0;1;0;Cagliari;Serie_A;2020
h;0.860583;5.2489;-4.388317;1;4;0.0137;l;03/01/2021;L;0;0;1;0;Cagliari;Serie_A;2020
h;1.2507;4.53244;-3.28174;2;5;0.0633;l;30/09/2020;L;0;0;1;0;Benevento;Serie_A;2020
a;1.55972;4.18819;-2.62847;2;5;0.1279;l;18/10/2020;L;0;0;1;0;Benevento;Serie_A;2020
a;0.338064;2.4683;-2.130236;2;0;0.1397;w;23/12/2020;W;1;0;0;3;Benevento;Serie_A;2020
h;0.945676;4.0811;-3.135424;1;4;0.0885;l;09/01/2021;L;0;0;1;0;Benevento;Serie_A;2020
a;0.247326;2.31196;-2.064634;1;0;0.1575;w;21/03/2021;W;1;0;0;3;Benevento;Serie_A;2020
a;1.40017;3.64262;-2.24245;3;5;0.1822;l;18/04/2021;L;0;0;1;0;Benevento;Serie_A;2020
a;0.742758;3.44683;-2.704072;0;2;0.1378;l;01/05/2021;L;0;0;1;0;Benevento;Serie_A;2020
a;0.760875;3.0518;-2.290925;2;2;0.185;d;31/10/2020;D;0;1;0;1;Parma Calcio 1913;Serie_A;2020
a;0.0318982;3.20915;-3.1772518;0;3;0.0164;l;22/11/2020;L;0;0;1;0;Parma Calcio 1913;Serie_A;2020
a;0.0467904;2.38532;-2.3385296;0;3;0.0644;l;06/01/2021;L;0;0;1;0;Parma Calcio 1913;Serie_A;2020
h;0.38214;3.416;-3.03386;0;2;0.0456;l;10/01/2021;L;0;0;1;0;Parma Calcio 1913;Serie_A;2020
h;0.807935;3.45928;-2.651345;1;2;0.1367;l;04/03/2021;L;0;0;1;0;Parma Calcio 1913;Serie_A;2020
h;1.05585;3.16517;-2.10932;2;5;0.2307;l;09/05/2021;L;0;0;1;0;Parma Calcio 1913;Serie_A;2020
a;0.152433;2.64977;-2.497337;0;3;0.0363;l;04/10/2020;L;0;0;1;0;Spezia;Serie_A;2020
a;0.965076;3.67014;-2.705064;2;2;0.1464;d;25/10/2020;D;0;1;0;1;Spezia;Serie_A;2020
h;0.546346;2.88171;-2.335364;1;4;0.1237;l;01/11/2020;L;0;0;1;0;Spezia;Serie_A;2020
a;1.92698;4.01311;-2.08613;2;1;0.3062;w;06/01/2021;W;1;0;0;3;Spezia;Serie_A;2020
a;0.532614;3.12881;-2.596196;1;4;0.084;l;18/04/2021;L;0;0;1;0;Spezia;Serie_A;2020
h;0.0315577;2.88353;-2.8519723;1;1;0.0236;d;21/04/2021;D;0;1;0;1;Spezia;Serie_A;2020
a;0.376941;3.14327;-2.766329;1;1;0.0646;d;04/10/2020;D;0;1;0;1;Marseille;Ligue_1;2020
a;0.0997889;2.22985;-2.1300611;0;2;0.0759;l;03/03/2021;L;0;0;1;0;Marseille;Ligue_1;2020
a;0.30434;2.7496;-2.44526;0;3;0.0846;l;20/03/2021;L;0;0;1;0;Marseille;Ligue_1;2020
h;0.13909;4.33321;-4.19412;0;4;0.0025;l;25/10/2020;L;0;0;1;0;Montpellier;Ligue_1;2020
h;0.55197;2.88799;-2.33602;2;3;0.1346;l;15/01/2021;L;0;0;1;0;Montpellier;Ligue_1;2020
a;0.15807;4.90921;-4.75114;0;4;0.0048;l;22/01/2021;L;0;0;1;0;Montpellier;Ligue_1;2020
a;1.75721;3.94358;-2.18637;2;1;0.2574;w;13/02/2021;W;1;0;0;3;Montpellier;Ligue_1;2020
h;0.395203;2.78036;-2.385157;0;3;0.0653;l;01/11/2020;L;0;0;1;0;Angers;Ligue_1;2020
a;0.322283;2.7459;-2.423617;1;3;0.097;l;28/11/2020;L;0;0;1;0;Nantes;Ligue_1;2020
h;0.633507;3.19753;-2.564023;0;4;0.0786;l;06/12/2020;L;0;0;1;0;Nantes;Ligue_1;2020
a;1.10394;3.9821;-2.87816;0;3;0.1585;l;23/12/2020;L;0;0;1;0;Nantes;Ligue_1;2020
h;0.180464;3.03614;-2.855676;2;1;0.0203;w;23/08/2020;W;1;0;0;3;Nice;Ligue_1;2020
h;0.930504;3.32755;-2.397046;0;3;0.132;l;20/09/2020;L;0;0;1;0;Nice;Ligue_1;2020
h;0.761993;3.1134;-2.351407;1;4;0.1263;l;19/12/2020;L;0;0;1;0;Nice;Ligue_1;2020
h;0.469882;3.61303;-3.143148;0;3;0.0461;l;17/01/2021;L;0;0;1;0;Nice;Ligue_1;2020
a;0.426701;2.7347;-2.307999;1;2;0.0733;l;03/02/2021;L;0;0;1;0;Nice;Ligue_1;2020
a;0.0932933;2.13387;-2.0405767;0;2;0.0772;l;03/10/2020;L;0;0;1;0;Saint-Etienne;Ligue_1;2020
a;0.359182;3.02331;-2.664128;1;2;0.078;l;19/09/2020;L;0;0;1;0;Bordeaux;Ligue_1;2020
a;0.204669;3.9375;-3.732831;0;4;0.004;l;01/11/2020;L;0;0;1;0;Bordeaux;Ligue_1;2020
h;0.208814;3.93633;-3.727516;0;2;0.0269;l;27/09/2020;L;0;0;1;0;Reims;Ligue_1;2020
h;0.273331;2.81036;-2.537029;1;3;0.0384;l;17/10/2020;L;0;0;1;0;Reims;Ligue_1;2020
a;0.555087;2.97358;-2.418493;1;2;0.1036;l;13/12/2020;L;0;0;1;0;Reims;Ligue_1;2020
h;0.679141;3.15679;-2.477649;1;1;0.1225;d;13/02/2021;D;0;1;0;1;Reims;Ligue_1;2020
a;0.051654;4.73633;-4.684676;0;4;0.0023;l;16/05/2021;L;0;0;1;0;Reims;Ligue_1;2020
a;0.462287;3.37221;-2.909923;0;4;0.087;l;22/11/2020;L;0;0;1;0;Lorient;Ligue_1;2020
h;0.61232;2.81772;-2.2054;2;5;0.1131;l;06/01/2021;L;0;0;1;0;Lorient;Ligue_1;2020
a;0.61204;4.64266;-4.03062;1;4;0.0253;l;08/05/2021;L;0;0;1;0;Lorient;Ligue_1;2020
a;0.356458;2.50003;-2.143572;0;4;0.1109;l;03/04/2021;L;0;0;1;0;Metz;Ligue_1;2020
h;0.649808;2.70678;-2.056972;1;3;0.201;l;24/04/2021;L;0;0;1;0;Metz;Ligue_1;2020
a;0.215658;3.97148;-3.755822;1;4;0.0129;l;28/08/2020;L;0;0;1;0;Dijon;Ligue_1;2020
a;1.49175;4.08894;-2.59719;0;4;0.1957;l;24/10/2020;L;0;0;1;0;Dijon;Ligue_1;2020
a;1.31726;5.60551;-4.28825;2;4;0.0211;l;07/02/2021;L;0;0;1;0;Dijon;Ligue_1;2020
a;0.683971;3.88289;-3.198919;0;3;0.0366;l;11/04/2021;L;0;0;1;0;Dijon;Ligue_1;2020
a;1.03041;4.16691;-3.1365;1;5;0.0884;l;25/04/2021;L;0;0;1;0;Dijon;Ligue_1;2020
a;0.254965;2.90262;-2.647655;0;4;0.0744;l;18/10/2020;L;0;0;1;0;Lens;Ligue_1;2020
a;0.326826;3.07214;-2.745314;1;3;0.0487;l;23/08/2020;L;0;0;1;0;Strasbourg;Ligue_1;2020
h;1.92587;4.16498;-2.23911;2;3;0.251;l;18/10/2020;L;0;0;1;0;Strasbourg;Ligue_1;2020
a;0.417249;3.11615;-2.698901;0;4;0.0656;l;23/12/2020;L;0;0;1;0;Strasbourg;Ligue_1;2020
h;0.138218;4.12316;-3.984942;0;4;0.0053;l;16/10/2020;L;0;0;1;0;Nimes;Ligue_1;2020
a;0.208733;3.43581;-3.227077;0;3;0.0345;l;29/11/2020;L;0;0;1;0;Nimes;Ligue_1;2020
a;0.562896;2.82061;-2.257714;0;3;0.1362;l;13/12/2020;L;0;0;1;0;Nimes;Ligue_1;2020
a;0.826798;4.64764;-3.820842;0;5;0.0237;l;06/01/2021;L;0;0;1;0;Nimes;Ligue_1;2020
a;0.170892;2.36548;-2.194588;0;1;0.1085;l;06/12/2020;L;0;0;1;0;Brest;Ligue_1;2020
a;1.28136;3.29974;-2.01838;2;2;0.2522;d;16/12/2020;D;0;1;0;1;Brest;Ligue_1;2020
a;0.546939;2.91378;-2.366841;0;3;0.1626;l;09/01/2021;L;0;0;1;0;Brest;Ligue_1;2020
h;1.46003;3.47483;-2.0148;2;3;0.3684;l;19/02/2021;L;0;0;1;0;Brest;Ligue_1;2020
a;0.214536;2.35659;-2.142054;1;0;0.0949;w;11/12/2021;W;1;0;0;3;Sevilla;La_liga;2021
a;0.902312;3.46484;-2.562528;2;4;0.1226;l;15/08/2021;L;0;0;1;0;Real Sociedad;La_liga;2021
a;0.528403;3.08821;-2.559807;0;4;0.087;l;20/02/2022;L;0;0;1;0;Real Sociedad;La_liga;2021
h;1.23306;3.68446;-2.4514;1;1;0.1853;d;26/10/2021;D;0;1;0;1;Espanyol;La_liga;2021
