h_a;xG;xGA;Dif;scored;missed;xpts;result;date;result;wins;draws;loses;pts;team_name;league_name;year
a;0.402388;2.59613;-2.193742;0;1;0.1708;l;31/01/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;0.320386;2.40554;-2.085154;0;3;0.1264;l;14/02/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;0.270253;2.31812;-2.047867;0;0;0.1864;d;19/04/2015;D;0;1;0;1;Cordoba;La_liga;2014
h;0.433609;6.18696;-5.753351;0;8;0.0018;l;02/05/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;0.0979845;3.14933;-3.0513455;0;2;0.0291;l;09/05/2015;L;0;0;1;0;Cordoba;La_liga;2014
a;1.07447;3.93785;-2.86338;1;5;0.0975;l;23/09/2014;L;0;0;1;0;Elche;La_liga;2014
h;0.47658;2.52963;-2.05305;0;2;0.1183;l;19/10/2014;L;0;0;1;0;Elche;La_liga;2014
h;0.347795;3.51478;-3.166985;0;6;0.021;l;24/01/2015;L;0;0;1;0;Elche;La_liga;2014
a;0.67376;3.005;-2.33124;0;3;0.131;l;15/03/2015;L;0;0;1;0;Elche;La_liga;2014
h;0.247285;2.37545;-2.128165;0;4;0.1089;l;20/03/2015;L;0;0;1;0;Elche;La_liga;2014
a;1.57961;3.77025;-2.19064;2;1;0.2533;w;03/05/2015;W;1;0;0;3;Elche;La_liga;2014
a;0.336251;2.75077;-2.414519;0;2;0.1037;l;19/10/2014;L;0;0;1;0;Almeria;La_liga;2014
h;0.710826;2.88307;-2.172244;1;2;0.159;l;08/11/2014;L;0;0;1;0;Almeria;La_liga;2014
a;0.300551;2.44178;-2.141229;0;3;0.1415;l;25/01/2015;L;0;0;1;0;Almeria;La_liga;2014
a;0.372844;2.62824;-2.255396;0;2;0.0792;l;19/04/2015;L;0;0;1;0;Almeria;La_liga;2014
a;0.248127;2.72518;-2.477053;0;3;0.0739;l;29/04/2015;L;0;0;1;0;Almeria;La_liga;2014
a;0.228896;3.14218;-2.913284;0;3;0.0219;l;27/09/2014;L;0;0;1;0;Aston Villa;EPL;2014
a;1.18593;3.59558;-2.40965;1;6;0.2045;l;16/05/2015;L;0;0;1;0;Aston Villa;EPL;2014
a;0.217043;2.91599;-2.698947;0;2;0.0496;l;04/03/2015;L;0;0;1;0;Leicester;EPL;2014
a;0.0930471;4.36607;-4.2730229;0;2;0.003;l;22/11/2014;L;0;0;1;0;West Bromwich Albion;EPL;2014
a;0.775158;4.90913;-4.133972;0;3;0.0107;l;21/03/2015;L;0;0;1;0;West Bromwich Albion;EPL;2014
a;0.569092;3.16614;-2.597048;1;4;0.1055;l;24/05/2015;L;0;0;1;0;West Bromwich Albion;EPL;2014
a;0.92175;3.71097;-2.78922;0;8;0.1274;l;18/10/2014;L;0;0;1;0;Sunderland;EPL;2014
a;0.979558;3.63333;-2.653772;2;3;0.1389;l;01/01/2015;L;0;0;1;0;Sunderland;EPL;2014
a;0.272806;3.03534;-2.762534;0;2;0.0572;l;28/02/2015;L;0;0;1;0;Sunderland;EPL;2014
a;0.528668;3.06954;-2.540872;2;2;0.1204;d;01/11/2014;D;0;1;0;1;West Ham;EPL;2014
a;0.45944;3.56764;-3.1082;0;2;0.0284;l;26/12/2014;L;0;0;1;0;West Ham;EPL;2014
h;1.1084;3.35886;-2.25046;1;2;0.2303;l;28/12/2014;L;0;0;1;0;West Ham;EPL;2014
a;0.478172;3.19619;-2.718018;0;3;0.0863;l;14/03/2015;L;0;0;1;0;West Ham;EPL;2014
h;0.48592;2.74317;-2.25725;0;3;0.1584;l;31/08/2014;L;0;0;1;0;Tottenham;EPL;2014
a;1.02153;3.56581;-2.54428;2;4;0.1987;l;13/09/2014;L;0;0;1;0;Swansea;EPL;2014
a;1.00374;3.27658;-2.27284;1;4;0.1898;l;29/12/2014;L;0;0;1;0;Swansea;EPL;2014
h;0.214209;3.19733;-2.983121;0;5;0.0262;l;17/01/2015;L;0;0;1;0;Swansea;EPL;2014
a;0.277288;3.28546;-3.008172;1;2;0.0251;l;04/04/2015;L;0;0;1;0;Stoke;EPL;2014
a;0.166685;3.12533;-2.958645;0;5;0.0308;l;21/02/2015;L;0;0;1;0;Newcastle United;EPL;2014
a;0.485003;4.02694;-3.541937;0;3;0.0354;l;02/05/2015;L;0;0;1;0;Newcastle United;EPL;2014
a;0.423719;2.68629;-2.262571;0;3;0.1374;l;18/01/2015;L;0;0;1;0;Hull;EPL;2014
h;0.474706;2.94938;-2.474674;1;3;0.1306;l;04/05/2015;L;0;0;1;0;Hull;EPL;2014
a;0.684259;4.3298;-3.645541;0;3;0.0275;l;01/11/2014;L;0;0;1;0;Burnley;EPL;2014
a;0.758485;3.23925;-2.480765;0;1;0.1722;l;02/05/2015;L;0;0;1;0;Burnley;EPL;2014
a;0.872314;5.35103;-4.478716;0;6;0.0096;l;10/05/2015;L;0;0;1;0;Queens Park Rangers;EPL;2014
a;0.230619;4.17851;-3.947891;0;8;0.009;l;14/02/2015;L;0;0;1;0;Hamburger SV;Bundesliga;2014
a;0.438761;2.66878;-2.230019;0;3;0.1438;l;14/03/2015;L;0;0;1;0;Hamburger SV;Bundesliga;2014
a;0.35348;3.81979;-3.46631;0;4;0.0258;l;04/04/2015;L;0;0;1;0;Hamburger SV;Bundesliga;2014
h;0.141435;2.16383;-2.022395;0;2;0.1204;l;11/04/2015;L;0;0;1;0;Hamburger SV;Bundesliga;2014
a;0.197392;2.50374;-2.306348;1;2;0.1036;l;16/05/2015;L;0;0;1;0;Hamburger SV;Bundesliga;2014
a;0.585109;2.62945;-2.044341;2;3;0.2018;l;14/02/2015;L;0;0;1;0;Augsburg;Bundesliga;2014
h;0.706377;3.62858;-2.922203;0;5;0.0385;l;21/12/2014;L;0;0;1;0;Hertha Berlin;Bundesliga;2014
a;0;2.49826;-2.49826;0;6;0.0304;l;18/10/2014;L;0;0;1;0;Werder Bremen;Bundesliga;2014
a;1.44207;3.8335;-2.39143;2;5;0.2105;l;07/12/2014;L;0;0;1;0;Werder Bremen;Bundesliga;2014
a;0.847395;3.2287;-2.381305;1;2;0.1886;l;04/10/2014;L;0;0;1;0;Schalke 04;Bundesliga;2014
a;0.0386148;4.81308;-4.7744652;0;3;9.00E-04;l;28/02/2015;L;0;0;1;0;Schalke 04;Bundesliga;2014
a;1.6222;4.06466;-2.44246;0;3;0.2515;l;26/10/2014;L;0;0;1;0;Mainz 05;Bundesliga;2014
a;0.691415;2.74589;-2.054475;2;4;0.1946;l;13/02/2015;L;0;0;1;0;Mainz 05;Bundesliga;2014
a;0.278579;2.70104;-2.422461;0;2;0.0829;l;09/05/2015;L;0;0;1;0;Mainz 05;Bundesliga;2014
a;0.328659;2.34132;-2.012661;0;2;0.1649;l;23/05/2015;L;0;0;1;0;Mainz 05;Bundesliga;2014
a;0.443178;2.69879;-2.255612;0;4;0.1738;l;04/10/2014;L;0;0;1;0;Hannover 96;Bundesliga;2014
a;0.395038;3.30586;-2.910822;0;2;0.0468;l;15/03/2015;L;0;0;1;0;Hannover 96;Bundesliga;2014
a;0.326006;2.60733;-2.281324;0;4;0.1145;l;18/04/2015;L;0;0;1;0;Hannover 96;Bundesliga;2014
a;0.0335359;2.28053;-2.2469941;0;1;0.068;l;09/11/2014;L;0;0;1;0;Borussia M.Gladbach;Bundesliga;2014
h;0.222447;3.03467;-2.812223;0;4;0.0213;l;08/11/2014;L;0;0;1;0;Eintracht Frankfurt;Bundesliga;2014
a;1.11886;3.19272;-2.07386;1;4;0.2106;l;31/01/2015;L;0;0;1;0;Eintracht Frankfurt;Bundesliga;2014
a;0.372545;2.47437;-2.101825;0;2;0.1465;l;25/04/2015;L;0;0;1;0;Eintracht Frankfurt;Bundesliga;2014
h;0.821798;3.46966;-2.647862;0;2;0.1189;l;27/09/2014;L;0;0;1;0;FC Cologne;Bundesliga;2014
a;0.494166;3.92268;-3.428514;1;4;0.0267;l;27/02/2015;L;0;0;1;0;FC Cologne;Bundesliga;2014
a;0.0497566;2.98351;-2.9337534;0;2;0.0085;l;16/12/2014;L;0;0;1;0;Freiburg;Bundesliga;2014
a;0.402844;3.48286;-3.080016;0;4;0.0433;l;23/09/2014;L;0;0;1;0;Paderborn;Bundesliga;2014
a;0.839366;4.47976;-3.640394;0;4;0.0524;l;29/11/2014;L;0;0;1;0;Paderborn;Bundesliga;2014
a;0.996117;3.22294;-2.226823;1;1;0.1411;d;14/12/2014;D;0;1;0;1;Paderborn;Bundesliga;2014
